Name,Alias,Nuttin
Variables Root Member,,
Variable.NA,Void Account,
TB,Trial Balance,
IE,INCOME AND EXPENDITURE ACCOUNT,
60000000,SURPLUS/DEFICIT FOR THE PERIOD,
65000000,OPERATING SURPLUS/ DEFICIT,
41000000,INCOME  (RI=R),
41100000,Taxation Income,
41110000,Inland Revenue Income (HMRC use only codes),
41111000,Income tax,
41112000,Corp. tax,
41113000,Petroleum revenue tax,
41114000,Capital gains tax,
41115000,Inheritance tax,
41116000,Stamp duties,
41117000,Social security contributions received,
41118000,Tax Credits,
41120000,Customs & Excise Income (HMRC use only codes),
41121000,Value added tax,
41122000,Hydrocarbon oils duties,
41123000,Tobacco duties,
41124000,Spirits duties,
41125000,"Wine, cider & perry duties",
41126000,Beer duties,
41128000,Betting & gaming duties,
41129000,Air passenger duties,
41130000,Insurance premium tax,
41131000,Landfill tax,
41132000,Climate change levy,
41133000,Customs duties,
41134000,Agricultural duties,
41135000,Aggregates levy,
41136000,Lorry road - user charge,
41140000,Other Taxation Income,
41140300,National Health contributions,
41140600,Student Loans Income DO NOT USE,
41141000,Vehicle excise duties,
41143000,NNDR - Local Authorities,
41144000,NNDR - Crown list,
41145000,NNDR - Central list,
41146000,Lottery income,
41147000,Regulatory fees,
41147500,Sugar levies,
41148000,Other current taxes,
41148500,Council tax,
41149000,Redistributed NNDR,
41119000,Broadcast license,
41141100,Commercial vehicle excise duty,
41141200,Non-commercial vehicle excise duty,
41200000,Operating Income,
41201000,Rent from Land and Non Produced Assets,
41201100,Dwelling rental revenue (gross) from Local Government housing,x
41202000,Other Rentals,
41203000,Sales of Goods and Services,
41205000,"Fees, levies and Charges",
41206000,Oil Royalties and other sub-soil assets,
41207000,Other non trading income,
41208000,Other Licenses,
41209000,Grant Income,
41209100,Grant income from Rest of World (inc EU) (Current),
41209150,Grant income from Rest of World (inc EU) (Capital),
41209200,Departmental transfer for a co-funded NDPB - current receipt,
41209300,Lottery Grants Income,
41209400,Income from the national lottery distribution fund,
41209500,Other grant income,
41209520,Broadcast License revenue,
41209530,Departmental transfer for a co-funded NDPB - current receipt (duplicate),
41209533,Learning & Skills Council Grant,x
41209540,Departmental transfer for a co-funded NDPB - capital receipt,
41209550,Housing Revenue Account Surpluses,
41209560,Current Income from Local Authorities,
41209561,Other Government Grants (current),x
41209562,Other Government Grants (capital),x
41209570,Capital Income from Local Authorities,
41209580,Capital Grants from the private sector (companies),
41209581,Current Grants from the Private Sector ,x
41209590,Capital Grants from the private sector (people NPISH),
41209510,departmental transfer not for a co-funded NDPB - current receipt,
41209511,Departmental transfer not for a co-funded NDPB - capital receipt,
41209535,Area Based Grants (income),
41209521,Revenue Support Grant - WGA Only,
41209522,PFI Special (current) Grant - WGA only,
41209523,General GLA (current) Grant - WGA only,
41209524,Supporting People (current) Grants - WGA Only,
41209531,Housing Benefit and Council Tax Benefit Admin Grant - WGA Only,
41209534,GLA Transport Grant (revenue element only) - WGA Only,
41209537,Dedicated Schools Grant - WGA Only,
41209538,Other Schools/Teacher related (Standard) currrent grants - WGA Only,
41209539,Sure Start (current) Grants  - WGA Only,
41209571,Non-HRA Rent Rebates: subsidy - WGA Only,
41209572,HRA Rent Rebates: subsidy - WGA Only,
41209573,Rent Allowance: subsidy - WGA Only,
41209574,Council Tax Benefit: subsidy - WGA Only,
41209579,Housing Revenue Accounts Subsidy - WGA Only,
41209532,Police Grant - WGA Only,
41209600,Deferred grants income,
41209110,Current Grants from Rest of the World - for CG spend,
41209155,Capital Grants from Rest of the World - for CG spend,
41210000,Deferred income,
41210100,Deferred Income - Goods and services,
41210200,Deferred Income - Rent of land,
41210300,Deferred Income - Rent income from sub-soil assets,
41210400,Other Deferred Income,
41210500,Emissions income,
41210600,LATS Grant Income,
41211000,Charity income,
41212000,Recovery of Secondee costs,
41213000,Adjustment account for Local Authority disposals,
41214000,"Allowable profits on the disposal of property, plant and equipment",
41214100,Profit on disposal of land,
41214200,Profit on disposal of buildings,
41214210,Profit on disposal of buildings (MOD only) (DO NOT USE),
